taken_at,Date,event_id,starts,League,Player1,Player2,PS1,PS2
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637220993,2026-09-24 01:00:00+00:00,ATP Chengdu Open - R1,Moise Kouame,Alexandre Muller,1.813,2.07
2026-09-23 17:56:54.849040+00:00,2026-09-25,1637221052,2026-09-25 04:00:00+00:00,WTA Seoul - QF,Lanlana Tararudee,Maya Joint,1.7692,2.14
2026-09-23 17:56:54.849040+00:00,2026-09-25,1637221054,2026-09-25 04:00:00+00:00,WTA Singapore - QF,Elise Mertens,Maja Chwalinska,1.4717,2.86
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637221073,2026-09-24 02:00:00+00:00,ITF Women Nanao - R16,Sakura Hosogi,Rinko Matsuda,2.04,1.7353
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637221074,2026-09-24 01:00:00+00:00,ITF Women Nanao - R16,Kanon Sawashiro,Hiromi Abe,3.95,1.2288
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637221075,2026-09-24 01:00:00+00:00,ITF Women Nanao - R16,Mutsumi Uemura,Hikaru Sato,2.59,1.4739
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637221076,2026-09-24 02:00:00+00:00,ITF Women Nanao - R16,Eri Shimizu,Nana Onozawa,1.082,7.37
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637221077,2026-09-24 02:00:00+00:00,ITF Women Nanao - R16,Natsumi Kawaguchi,Sayaka Ishii,1.5952,2.28
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637221089,2026-09-24 08:00:00+00:00,ATP Chengdu Open - R1,Lloyd Harris,Aleksandar Kovacevic,1.5155,2.68
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637221090,2026-09-24 08:00:00+00:00,ATP Chengdu Open - R1,Martin Damm,Shintaro Mochizuki,1.5495,2.57
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637221091,2026-09-24 01:00:00+00:00,ATP Chengdu Open - R1,Miomir Kecmanovic,Nikoloz Basilashvili,1.4902,2.76
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637221122,2026-09-24 14:00:00+00:00,WTA 125K Ankara - R16,Deniz Dilek,Cagla Buyukakcay,1.5882,2.39
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637225821,2026-09-24 05:00:00+00:00,WTA Singapore - R16,Talia Gibson,Viktoria Morvayova,1.084,8.64
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637225837,2026-09-24 03:00:00+00:00,ITF Women Maanshan - R16,Aruzhan Sagandikova,Yingqun Sun,1.9174,1.8403
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637225838,2026-09-24 02:00:00+00:00,ITF Women Maanshan - R16,Daria Khomutsianskaya,Darja Suvirdjonkova,1.055,9.37
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637225839,2026-09-24 02:00:00+00:00,ITF Women Maanshan - R16,Shiyu Ye,Yanan Hou,1.2151,4.11
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637225840,2026-09-24 03:00:00+00:00,ITF Women Maanshan - R16,Zijun Jiang,Junhan Zhang,4.73,1.1701
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637225841,2026-09-24 02:00:00+00:00,ITF Women Maanshan - R16,Jing-Jing Lu,Anna Kubareva,3.82,1.2427
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637225842,2026-09-24 09:00:00+00:00,ATP Challenger St Tropez - R16,Billy Harris,Murphy Cassone,2.01,1.8547
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637240770,2026-09-24 03:00:00+00:00,ITF Women Maanshan - R16,Xiao Tang,Yuhan Wang,5.38,1.1379
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637240807,2026-09-24 06:00:00+00:00,ITF Men Baku - R16,Ivan Gretskiy,Marc Majdandzic,3.83,1.241
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637240808,2026-09-24 06:00:00+00:00,ITF Men Baku - R16,Oscar Brown,Kerem Yilmaz,1.7874,1.9709
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637240813,2026-09-24 04:00:00+00:00,ITF Men Yinchuan - R16,Alibek Kachmazov,Chase Ferguson,1.16,4.91
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637240814,2026-09-24 04:00:00+00:00,ITF Men Yinchuan - R16,Zijiang Yang,Chan-Yeong Oh,5.79,1.122
2026-09-23 17:56:54.849040+00:00,2026-09-25,1637241141,2026-09-25 02:00:00+00:00,ATP Hangzhou - R16,Kyrian Jacquet,Tomas Martin Etcheverry,2.45,1.5988
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241143,2026-09-24 02:00:00+00:00,ITF Women Maanshan - R16,Meng-Yi Chen,Ruien Zhang,4.72,1.1709
2026-09-23 17:56:54.849040+00:00,2026-09-25,1637241158,2026-09-25 02:00:00+00:00,ATP Hangzhou - R16,Daniil Medvedev,Valentin Royer,1.2299,4.52
2026-09-23 17:56:54.849040+00:00,2026-09-25,1637241169,2026-09-25 03:00:00+00:00,WTA Singapore - QF,Mirra Andreeva,Leylah Fernandez,1.2778,4.04
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241180,2026-09-24 04:00:00+00:00,ITF Men Yinchuan - R16,Nick Beamish,Mukund Sasikumar,11.76,1.037
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241181,2026-09-24 04:00:00+00:00,ITF Men Yinchuan - R16,Filip Peliwo,Enzo Aguiard,3.73,1.2519
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241182,2026-09-24 04:00:00+00:00,ITF Men Yinchuan - R16,Jesse Flores,Reiya Komagata,1.3268,3.19
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241183,2026-09-24 04:00:00+00:00,ITF Men Yinchuan - R16,Alexandr Binda,Nikolai Barsukov,1.463,2.62
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241184,2026-09-24 04:00:00+00:00,ITF Men Yinchuan - R16,Kuan Shou Chen,Shaoyun Liu,1.08,7.49
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637241205,2026-09-23 22:00:00+00:00,ITF Men Pardubice - R16,Stepan Baum,Jakub Vrtilka,1.068,8.86
